Company Name,Industry,Country,GenAI Tool,Adoption Year,Number of Employees Impacted,New Roles Created,Training Hours Provided,Productivity Change (%),Employee Sentiment
"Holmes, Bishop and Stevens Pvt. Ltd.",Hospitality,South Korea,Mixtral,2022,12494,15,17142,30.9,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
Wagner-Cannon Pvt. Ltd.,Telecom,Singapore,Mixtral,2023,12372,3,22902,19.2,There's concern that AI will replace some of us soon. Internal newsletters now highlight AI use cases.
"Williams, Johnson and Wright Pvt. Ltd.",Finance,Japan,Gemini,2024,8815,28,7270,21.7,I love using AI—it makes my job easier and more fun. Clients now expect faster results due to AI use.
House-Bailey Pvt. Ltd.,Healthcare,UAE,Groq,2024,11733,15,11134,6.6,"Mixed responses—management excited, staff feel uncertain. It changed how we communicate internally."
"Lloyd, Ross and Davis Pvt. Ltd.",Telecom,Singapore,LLaMA,2023,12521,10,19208,29.8,There's concern that AI will replace some of us soon. It changed how we communicate internally.
Jensen-Sanchez Pvt. Ltd.,Technology,UAE,Gemini,2023,12981,20,3776,14.3,"We now finish tasks faster, but some older employees are struggling. Overall, it's a big shift."
"Moore, Bruce and Miller Pvt. Ltd.",Finance,Brazil,LLaMA,2023,7439,6,21393,26.0,Collaboration improved; documentation and meetings are more efficient. Monthly town halls discuss the AI rollout.
"Moore, Ramos and Graham Pvt. Ltd.",Transportation,Germany,Claude,2022,9560,10,2580,18.3,"Job roles have shifted a lot, which is both good and scary. HR hosted webinars weekly."
"Bridges, Perry and Brown Pvt. Ltd.",Healthcare,UAE,Gemini,2023,1672,4,5561,27.3,"We now finish tasks faster, but some older employees are struggling. Some departments feel left behind."
"Perez, Moore and Jackson Pvt. Ltd.",Retail,Singapore,Claude,2023,9221,16,6334,34.0,Our workflows have improved drastically with generative AI. HR hosted webinars weekly.
"Ramirez, Watson and Long Pvt. Ltd.",Education,Brazil,Groq,2022,19629,3,10654,24.5,New roles are exciting; transition was smoother than expected. Internal newsletters now highlight AI use cases.
"Chambers, Vance and Morgan Pvt. Ltd.",Legal Services,South Korea,ChatGPT,2024,15460,5,19739,11.3,I love using AI—it makes my job easier and more fun. Monthly town halls discuss the AI rollout.
"Garcia, Hutchinson and Green Pvt. Ltd.",Education,France,Mixtral,2023,11169,8,1243,24.5,"Job roles have shifted a lot, which is both good and scary. Job rotations have increased."
"Figueroa, Joyce and Mercer Pvt. Ltd.",Defense,USA,Claude,2023,11423,23,17075,7.3,"Job roles have shifted a lot, which is both good and scary. It changed how we communicate internally."
Miller-Lewis Pvt. Ltd.,Defense,South Korea,Groq,2024,18309,1,9616,4.8,Collaboration improved; documentation and meetings are more efficient. My team adapted faster than others.
Krause-Meadows Pvt. Ltd.,Manufacturing,South Korea,Claude,2022,4382,13,6431,6.9,Our workflows have improved drastically with generative AI. Monthly town halls discuss the AI rollout.
"Lewis, Nguyen and Becker Pvt. Ltd.",Finance,Switzerland,ChatGPT,2024,121,6,7252,32.4,New roles are exciting; transition was smoother than expected. Job rotations have increased.
"Lopez, Travis and Hull Pvt. Ltd.",Retail,Japan,Groq,2023,12852,24,19521,32.1,"Mixed responses—management excited, staff feel uncertain. Managers were initially skeptical."
Roberts-Hawkins Pvt. Ltd.,Utilities,UAE,ChatGPT,2024,12356,21,22051,17.8,"Mixed responses—management excited, staff feel uncertain. It changed how we communicate internally."
"Murray, Oliver and Mays Pvt. Ltd.",Legal Services,South Korea,ChatGPT,2023,19938,19,5787,27.8,"AI helped me reduce repetitive tasks, but learning curve was steep. HR hosted webinars weekly."
Watson-Henderson Pvt. Ltd.,Technology,Switzerland,Groq,2022,18127,6,19396,13.9,New roles are exciting; transition was smoother than expected. Clients now expect faster results due to AI use.
"Perez, Ramsey and Sherman Pvt. Ltd.",Manufacturing,Germany,Gemini,2024,692,8,10902,33.8,"We now finish tasks faster, but some older employees are struggling. Internal newsletters now highlight AI use cases."
Caldwell-Golden Pvt. Ltd.,Healthcare,Japan,Mixtral,2023,19164,17,16769,12.8,There's concern that AI will replace some of us soon. Some departments feel left behind.
"Callahan, Arnold and Caldwell Pvt. Ltd.",Healthcare,Australia,ChatGPT,2024,10411,18,1487,22.8,There's concern that AI will replace some of us soon. Monthly town halls discuss the AI rollout.
"Martinez, Herman and White Pvt. Ltd.",Defense,UK,Gemini,2024,19453,7,21833,28.4,New roles are exciting; transition was smoother than expected. Internal newsletters now highlight AI use cases.
Wood-Gomez Pvt. Ltd.,Advertising,India,LLaMA,2022,9013,14,19950,33.3,"Productivity increased, but there's anxiety about job security. Some departments feel left behind."
"Baker, Cook and Lee Pvt. Ltd.",Finance,UK,Mixtral,2024,17770,2,10527,9.0,"We now finish tasks faster, but some older employees are struggling. My team adapted faster than others."
"Hall, Barker and Bell Pvt. Ltd.",Legal Services,Australia,Gemini,2024,122,7,4524,25.4,"Mixed responses—management excited, staff feel uncertain. Managers were initially skeptical."
Roberson-Santos Pvt. Ltd.,Education,Australia,Groq,2023,1527,29,11947,4.7,New roles are exciting; transition was smoother than expected. Clients now expect faster results due to AI use.
Simmons-Haley Pvt. Ltd.,Retail,UK,Mixtral,2022,6311,2,13590,2.2,"Job roles have shifted a lot, which is both good and scary. Overall, it's a big shift."
"Wilcox, Patrick and Andrade Pvt. Ltd.",Hospitality,Canada,Mixtral,2023,3347,24,10175,16.2,"Mixed responses—management excited, staff feel uncertain. Managers were initially skeptical."
Torres-Austin Pvt. Ltd.,Defense,Singapore,Groq,2024,9187,2,22189,29.9,New roles are exciting; transition was smoother than expected. It changed how we communicate internally.
"Fischer, Jenkins and Klein Pvt. Ltd.",Healthcare,India,Mixtral,2022,18619,15,22471,33.2,"Job roles have shifted a lot, which is both good and scary. Managers were initially skeptical."
Roberts-Thomas Pvt. Ltd.,Technology,Australia,Mixtral,2022,6260,30,10161,9.2,"Productivity increased, but there's anxiety about job security. Some departments feel left behind."
House-Mccormick Pvt. Ltd.,Retail,Singapore,Mixtral,2023,12683,28,9961,15.6,I love using AI—it makes my job easier and more fun. Internal newsletters now highlight AI use cases.
"Williams, Hickman and James Pvt. Ltd.",Manufacturing,France,LLaMA,2022,6937,8,8579,4.3,"Job roles have shifted a lot, which is both good and scary. Internal newsletters now highlight AI use cases."
"Martin, Baldwin and Roberts Pvt. Ltd.",Telecom,Germany,Groq,2023,4016,9,3265,24.0,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
"Johns, Morse and Roberts Pvt. Ltd.",Technology,Germany,Gemini,2022,19342,6,20041,19.4,"AI helped me reduce repetitive tasks, but learning curve was steep. Internal newsletters now highlight AI use cases."
Newman-Carney Pvt. Ltd.,Telecom,Canada,ChatGPT,2024,18755,11,10200,25.2,"We now finish tasks faster, but some older employees are struggling. My team adapted faster than others."
"Meadows, Johnson and Hernandez Pvt. Ltd.",Education,South Africa,Claude,2024,15397,4,8408,12.4,Our workflows have improved drastically with generative AI. Job rotations have increased.
Kelly Inc Pvt. Ltd.,Technology,South Korea,LLaMA,2023,15278,19,2006,17.0,New roles are exciting; transition was smoother than expected. Internal newsletters now highlight AI use cases.
"Washington, Arellano and Allen Pvt. Ltd.",Education,South Africa,LLaMA,2024,12107,26,15851,13.4,"Productivity increased, but there's anxiety about job security. Clients now expect faster results due to AI use."
